Region,Application/Plan,Operation,A7 Job Name,Production Job Match,Mapping Status,Expected Duration (min),Avg Runtime Jun-26 (min),P95 Runtime Jun-26 (min),Run Count,Avg Runtime Dec-25 (min),P95 Runtime Dec-25 (min),Run Count Dec-25,SLA Start,SLA End/Cut-off,Criticality,Area,Job Description,Executed Programs,Referenced Datasets (max 30),Source Reference,Validation Status,Environment Status,Implementation Status,Frequency
MY,TMYCLKA7,CPU_001,J7START,,Dev only - not in Prod,1,,,0,,,,,,Development only,,Not implemented in production; runs in development only.,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt; user confirmation 2026-07-19,User confirmed dev-only,Development,Not implemented in production,
MY,TMYCLKA7,CPU_002,J7AEM#1,JOAEM#1,Matched,10,0.1,0.13,32,0.1,0.12,31,,,Standard,,,,&CNTLLIB(OADC200A),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_003,J7AEC,JOAEC,Matched,10,0,0.02,32,0.01,0.02,31,,,Standard,,,,&CNTLLIB(OADC200D),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_004,J7ADBKED,JOADBKED,Matched,10,0.22,0.25,32,0.25,0.32,31,,,Standard,,,IDCAMS,&CNTLLIB(ICP00591) &CNTLLIB(ICP00592) &CNTLLIB(RESETCC) PRDCAU.BKPVSM.MY20A2.AUSYS.CEDC.EOD PRDEDC.BKPVSM.MY20A2.OADCLGA.EOD PRDEDC.BKPVSM.MY20A2.OADCLGB.EOD PRDEDC.BKPVSM.MY20A2.OADCTF.EOD,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_005,J7ADCEOD,JOADCEOD,Matched,10,4.05,7.42,32,3.45,6.62,31,,,Standard,,,,,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_006,J7ADCEO2,JOADCEO2,Matched,10,20.76,24.95,32,17.71,20.58,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCIS.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2 PRDEDC.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_007,J7ADCDEB,JOADCDEB,Matched,10,0.79,1.38,32,0.37,0.95,31,,,Standard,,,,PRDCAU.BTHLOD.MY20A2 PRDCIS.BTHLOD.MY20A2 PRDCRD.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2 PRDEDC.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_008,J7AEO,JOAEO,Matched,10,0,0,32,0,0,31,,,Standard,,,,&CNTLLIB(OADC200E),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_009,J7AEM#3,JOAEM#3,Matched,10,0,0,32,0,0,31,1.30 AM,-,Critical,OAEX,EDC After Hour Transaction Update - To trigger the OAEX (OADX when manually triggered from CICS) transfer to next active log in CICS. Must Start at 1.30 AM bcoz need 2 hrs to finish,,&CNTLLIB(OADC200C),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_010,J7AEM#6,JOAEM#6,Matched,10,0,0,32,0,0,31,,,Standard,,,,&CNTLLIB(OADC200F),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_011,J7ISM#1,JAISM#1,Matched,10,0.03,0.05,32,0.04,0.05,31,,,Standard,,,,&CNTLLIB(AUD600A),A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
MY,TMYCLKA7,CPU_012,J7IBKEOD,JAIBKEOD,Matched,10,0.96,1.43,32,1.28,2.15,31,,,Standard,,,IDCAMS,PRDCAU.BKPVSM.MY20A2.AUSYS.EOD.AFT PRDCAU.BKPVSM.MY20A2.ISSCATV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSCCVS.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSCTYV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSFRD.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSLOGA.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSLOGB.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSPAR.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSRPCS.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSPCL.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTLA.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTLB.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSVTP.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSWMSG.EOD.AFTER PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,A76_LIST.txt; D2606JUN.txt; MY SLA; MY_JCL_Evidence.txt,Parsed,Production,Implemented,
