Region,JCL Member,Executed Programs,Datasets (max 50),Dataset Count,First Evidence Line,Last Evidence Line,Source
MY,CONV6J2,CNPCONV6 SORT,&ENV.EDC.BTHSEQ.&VER.TMKIDX &ENV.EDC.BTHSEQ.&VER.TMKIDX.SORT &ENV.EDC.ONLVSM.&VER.OADCTF PRDEDC.BTHLOD.MY20A2,4,4,41,MY_JCL_Evidence.txt
MY,JAASRPT1,,&ENV.EDC.ONLVSM.&VER.OADCESA,1,26,27,MY_JCL_Evidence.txt
MY,JAIAFHJC,,PRDCAU.BTHLOD.MY20A2 PRDCIS.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,3,4,6,MY_JCL_Evidence.txt
MY,JAIBKEOD,IDCAMS,PRDCAU.BKPVSM.MY20A2.AUSYS.EOD.AFT PRDCAU.BKPVSM.MY20A2.ISSCATV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSCCVS.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSCTYV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSFRD.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSLOGA.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSLOGB.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSPAR.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSRPCS.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSPCL.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTLA.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTLB.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSSTV.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSVTP.EOD.AFTER PRDCAU.BKPVSM.MY20A2.ISSWMSG.EOD.AFTER PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,17,4,87,MY_JCL_Evidence.txt
MY,JAICCVSB,ADRDSSU IDCAMS,,0,16,28,MY_JCL_Evidence.txt
MY,JAICIAJC,,PRDCAU.BTHLOD.MY20A2 PRDCIS.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,3,4,6,MY_JCL_Evidence.txt
MY,JAICIAJY,ADRDSSU IDCAMS,,0,10,31,MY_JCL_Evidence.txt
MY,JAIDHSTP,,PRDCAU.BTHLOD.MY20A2,1,4,4,MY_JCL_Evidence.txt
MY,JAIEOD,,PRDCAU.BTHLOD.MY20A2 PRDCSS.BTHLOD.MY20A2,2,4,5,MY_JCL_Evidence.txt
MY,JAIEOD2,IDCAMS,PRDCAU.BKPVSM.MY20A2.AUSYS.JCP2028R PRDCIS.BKPVSM.MY20A2.CPSYSA.JCP2028R PRDCIS.BKPVSM.MY20A2.CPSYSB.JCP2028R,3,37,63,MY_JCL_Evidence.txt
