Production Job,Runs,Average min,P95 min,Minimum min,Maximum min,Mapped to A7
ADDVOL,11,0,0,0,0,No
CLBFCT1A,1,0,0,0,0,No
CLBFCT2A,1,0,0,0,0,No
COPYPD12,2,0,0,0,0,No
CSDLIST1,3,0,0,0,0,No
DAILYPLN,32,0.86,1.05,0.6166666666666667,1.1,No
DFHCLK1#,2,0.03,0.07,0,0.06666666666666667,No
ENDED,1776,0,0,0,0,No
GPMQUERY,32,0,0,0,0,No
JAIAFHJC,32,0.37,0.57,0.2833333333333333,0.5833333333333334,Yes
JAIBKEOD,32,0.96,1.43,0.55,1.75,Yes
JAICATV,7,1.72,2.02,1.483333333333333,2.016666666666667,No
JAICCVS,7,17.73,19.82,16.85,19.81666666666667,No
JAICIAJC,32,0.03,0.03,0.01666666666666667,0.05,Yes
JAIDHST,32,12.13,15.22,4.966666666666667,15.71666666666667,Yes
JAIEOD,32,6.52,11.42,2.433333333333333,11.45,Yes
JAIEOD2,32,3.37,4.5,1.2,5.15,Yes
JAIEXBC,32,1.79,2.92,1.133333333333333,3,No
JAIFRD,32,0.06,0.08,0.01666666666666667,0.08333333333333333,No
JAIHSTBK,32,0.62,0.92,0.45,1.033333333333333,Yes
JAIINMI,7,0.02,0.02,0.01666666666666667,0.01666666666666667,No
JAIKCJC,32,0.11,0.15,0.08333333333333333,0.1666666666666667,Yes
JAIMBLS,32,9.41,24.97,1.316666666666667,26.08333333333333,No
JAINHMJC,32,0.03,0.05,0.01666666666666667,0.05,Yes
JAINHSJC,32,0.68,0.82,0.5,0.8833333333333333,Yes
JAIRCATV,7,0.02,0.02,0.01666666666666667,0.01666666666666667,No
JAIRCCVS,7,0.03,0.03,0.01666666666666667,0.03333333333333333,No
JAIRHSJC,32,0.05,0.08,0.01666666666666667,0.1166666666666667,Yes
JAIRISSM,1,0,0,0,0,No
JAIRPBC,32,0.03,0.07,0,0.08333333333333333,No
JAISM#1,32,0.03,0.05,0.01666666666666667,0.05,Yes
JAISM#3,32,2.53,3.43,1.766666666666667,3.433333333333333,Yes
JAISPCLD,32,3.78,5.1,1.416666666666667,5.9,Yes
JAISTBK,32,0.05,0.05,0.05,0.05,No
JAIUCME#,7,0,0,0,0,No
JAIUCMO#,7,0,0,0,0,No
JAIWLT07,32,6.9,9.18,4.6,9.716666666666667,No
JAIWLT08,32,0.97,1.05,0.8333333333333334,1.116666666666667,No
JASFHKC,32,2.24,3.12,1.816666666666667,3.15,Yes
JASFHKCB,32,0.08,0.1,0.06666666666666667,0.1,Yes
JAT0128U,32,0.49,0.9,0.15,1.133333333333333,No
JAT0146U,32,0.66,0.77,0.6,0.7666666666666667,No
JAT0147U,32,0.26,0.35,0.1833333333333333,0.3833333333333334,No
JAT031R,32,0.08,0.17,0.03333333333333333,0.2166666666666667,No
JAT031S,32,0.43,0.7,0.1,0.9666666666666667,No
JAT0526R,32,0,0,0,0.01666666666666667,No
JAT0527U,32,0.14,0.22,0.03333333333333333,0.2333333333333333,No
JAT0528U,32,0.29,0.45,0.06666666666666667,0.5666666666666667,No
JAT0529U,32,0.18,0.3,0.05,0.3833333333333334,No
JAT0530U,32,0.22,0.35,0.06666666666666667,0.4833333333333333,No
JAT0531U,32,0.09,0.17,0.01666666666666667,0.1833333333333333,No
JAT0532U,32,0.09,0.17,0.03333333333333333,0.1833333333333333,No
JAT0537U,32,0.75,0.95,0.6333333333333333,1.633333333333333,No
JAT0538U,32,0.15,0.18,0.1166666666666667,0.1833333333333333,No
JAT0539U,32,0.86,0.9,0.8333333333333334,1.016666666666667,No
JAT0540U,32,0.36,0.38,0.3333333333333333,0.4166666666666667,No
JAT0544U,32,0.06,0.08,0.01666666666666667,0.1,No
JAT0545U,32,0.07,0.1,0.01666666666666667,0.1166666666666667,No
JAT0568T,32,0.38,0.45,0.3333333333333333,0.45,No
JAT0569T,32,0.42,0.52,0.35,0.5166666666666667,No
JAT0570T,32,0.49,0.6,0.3666666666666666,0.6166666666666667,No
JAT0578U,32,0.37,0.38,0.3666666666666666,0.3833333333333334,No
JAT0581D,32,0.05,0.1,0.03333333333333333,0.1333333333333333,No
JAT0585D,6,0.09,0.13,0,0.1333333333333333,No
JAT0585T,4,0.38,0.4,0.35,0.4,No
JAT0586T,4,0.41,0.42,0.4,0.4166666666666667,No
JAT0591U,32,0.6,0.75,0.4666666666666667,1.4,No
JAT0592U,32,2.62,3.28,2.033333333333333,3.283333333333333,No
JAT0599T,32,0.4,0.42,0.35,0.4333333333333333,No
JAT0600U,32,0.04,0.05,0,0.06666666666666667,No
JAT0615T,32,0.35,0.37,0.3333333333333333,0.3666666666666666,No
JAT0616U,35,0,0,0,0.01666666666666667,No
JAT0617R,3,0.01,0.02,0,0.01666666666666667,No
JAT0617U,34,0.01,0.02,0,0.01666666666666667,No
JAT0618T,32,0.34,0.35,0.3333333333333333,0.35,No
JAT0619D,32,0.41,0.48,0.3166666666666667,0.5,No
JAT0619U,32,0.07,0.08,0.05,0.1,No
