production_job,runs,avg_min,p95_min,min_min,max_min,total_min_jun26,mapped_to_a7
RMMDLM01,31,116.87,121.10,112.58,121.57,3623,No
JCP1488U,32,74.41,77.03,71.78,77.95,2381,Yes
JCP1704U,32,72.70,79.87,68.08,88.65,2326,No
JCP1028U,32,46.12,48.45,42.98,60.67,1476,Yes
JCQDY760,32,45.04,46.42,42.55,46.52,1441,Yes
JAUDR85,32,38.15,42.03,33.93,43.25,1221,No
JCP2028R,32,36.38,39.92,33.52,41.02,1164,No
JQMDY09,32,36.27,40.42,33.60,50.60,1161,Yes
JCP0506U,32,32.68,35.55,31.00,35.80,1046,Yes
JQMDY07,32,31.59,33.18,29.75,33.50,1011,Yes
JCPBKD07,32,28.61,31.58,21.68,31.85,916,No
JQMDY05,32,28.04,33.05,23.13,36.05,897,Yes
JCP1484U,32,27.45,24.83,12.65,319.87,878,No
JQMBKPB0,32,26.81,28.62,25.18,32.20,858,No
JCP1489U,32,26.69,27.60,25.77,27.88,854,Yes
JCPBKD01,32,25.88,29.08,23.12,49.35,828,No
JMIEODJC,32,25.42,34.03,15.42,43.93,813,No
JCP2839U,31,25.42,26.72,23.78,26.77,788,Yes
JQMRP99,32,23.71,27.95,21.78,30.92,759,Yes
JCP1848U,32,23.21,24.83,21.23,24.83,743,Yes
JCP0681U,32,23.13,25.40,20.85,27.65,740,Yes
JCQDY720,32,22.76,23.85,21.32,24.05,728,Yes
JCP2194U,32,21.97,23.43,20.25,26.27,703,No
JRACFRW1,32,21.85,25.45,18.23,25.57,699,No
JOADCEO2,32,20.76,24.95,14.62,35.37,664,Yes
JCP2202U,32,19.87,26.20,13.20,27.78,636,No
JCP2400U,32,19.86,26.17,13.18,27.75,636,No
JCP2884U,32,19.85,27.22,13.28,29.20,635,No
JQMUMBLC,32,19.83,26.07,10.60,28.98,635,Yes
JCP2636U,32,19.76,25.72,13.10,27.75,632,No
JCP2420U,32,19.55,25.63,12.95,27.55,626,No
JCP14221,32,19.42,35.10,0.00,35.55,621,No
JCP14222,32,19.42,38.30,0.00,42.27,621,No
JCP2625U,32,19.03,20.82,16.90,26.05,609,No
RMMINVLS,32,18.68,21.35,16.38,24.57,598,No
JMH002WD,32,17.90,24.32,10.25,25.63,573,Yes
JTSPSMFT,31,18.09,21.63,15.07,21.97,561,No
JCP14223,32,17.49,33.05,0.00,41.92,560,No
JQMRP05A,32,17.29,19.70,15.50,20.13,553,Yes
JCP1460R,32,16.74,19.07,14.68,23.97,536,No
SCP1231U,32,16.27,20.25,8.23,20.82,521,No
JQMQR010,32,16.03,19.08,14.25,20.45,513,Yes
JCP2600U,32,15.89,17.18,14.28,20.60,508,No
JCP1490U,32,14.74,15.88,13.27,16.60,472,Yes
JCQDY01,32,14.68,18.80,12.08,18.83,470,Yes
JQMDY8B2,32,14.65,15.67,13.77,15.80,469,No
JCP1056U,40,11.03,14.62,0.62,16.22,441,Yes
JCP1705U,32,13.40,15.70,12.02,17.92,429,Yes
JCPU516,33,12.73,18.77,7.70,36.98,420,Yes
JCP1616U,32,13.07,14.60,10.18,14.95,418,Yes
JCX747B0,32,12.94,14.23,11.52,14.25,414,No
JCP2196U,32,12.81,15.17,11.00,15.27,410,No
JCP1849U,32,12.18,12.88,11.50,13.45,390,Yes
JAIDHST,32,12.13,15.22,4.97,15.72,388,Yes
JCXCLGL2,32,11.95,18.43,5.08,19.35,382,Yes
JCP2193U,32,11.86,13.30,9.98,14.57,380,No
JAUEOD,32,11.80,15.27,4.47,15.67,378,Yes
JCP2192U,32,11.76,13.10,9.37,13.38,376,Yes
JCPDY7H,32,11.29,14.93,8.23,15.87,361,Yes
JEPDLY02,32,11.04,12.62,8.48,20.52,353,Yes
JCPTMK00,30,11.63,14.85,5.47,15.88,349,No
RACFADU,32,10.64,13.35,8.85,15.02,340,No
JCP2108U,32,10.63,12.53,8.07,13.92,340,Yes
JCXCMPUP,32,10.48,15.83,4.90,17.37,335,Yes
JCPAAS09,32,10.11,7.85,4.72,145.57,324,No
JCPBKD03,32,10.00,12.68,7.60,12.90,320,No
JCPDY3HU,32,9.56,13.65,7.12,14.93,306,Yes
JCPF6003,32,9.45,13.10,4.85,15.28,302,Yes
JAIMBLS,32,9.41,24.97,1.32,26.08,301,No
JQMEIEXT,32,9.15,13.88,7.62,14.02,293,Yes
JQMDY01,32,9.14,9.60,8.20,9.97,292,Yes
JCP0459R,32,9.08,14.82,2.13,15.92,291,Yes
SAIEOD2,32,8.96,12.28,2.55,12.30,287,No
JCPTMK01,32,8.82,12.32,3.62,12.65,282,No
SLBDY02B,32,8.69,11.17,5.97,13.05,278,No
JQMBMSF,32,8.65,9.27,7.73,9.33,277,Yes
JCPEXEIS,32,8.36,10.17,5.97,11.05,268,Yes
JCXCLMDI,32,8.29,14.77,4.55,15.12,265,Yes
JCPBKD2M,32,8.05,9.63,6.92,9.82,258,No
JCPAAS12,30,8.58,9.37,7.90,9.42,257,No
JCP1343R,32,8.04,17.38,2.68,18.37,257,No
JCP0497U,32,7.55,8.93,5.53,9.05,242,No
JCPDY11E,32,7.54,8.50,6.77,8.67,241,Yes
JCQDY10,32,7.40,7.67,6.90,7.82,237,Yes
JBACKCAT,96,2.45,2.83,2.12,3.12,235,No
JTSPSMFG,32,7.29,7.37,7.23,7.38,233,No
JCQD810,33,6.86,8.98,5.47,11.82,226,No
JCPDY8,32,6.91,11.67,2.97,12.05,221,Yes
JAIWLT07,32,6.90,9.18,4.60,9.72,221,No
JITDAILY,32,6.90,10.75,3.30,10.85,221,Yes
JCP1824U,33,6.61,7.55,5.37,7.68,218,Yes
JCPAAS08,32,6.79,9.02,6.12,9.13,217,No
JQMRP03,32,6.79,8.05,5.72,9.23,217,Yes
JCPBKD06,32,6.68,7.75,5.85,8.50,214,No
JCXCLNL,32,6.68,9.28,4.98,9.52,214,Yes
JCPDY11A,32,6.67,7.98,6.17,8.85,213,Yes
JCPTMK07,32,6.54,9.08,4.20,9.22,209,No
JAIEOD,32,6.52,11.42,2.43,11.45,209,Yes
JCPAAS19,31,6.63,6.93,5.65,15.68,206,No
SCP0047U,32,6.34,8.35,3.87,9.55,203,No
SAIDHST,32,6.26,9.97,1.32,10.23,200,No
SCP1232U,32,6.25,9.03,3.02,11.77,200,No
JCP1027U,32,6.19,7.25,5.37,8.35,198,Yes
JCP2615U,32,6.19,9.77,4.88,10.15,198,No
JQMDY10,32,6.08,6.53,5.58,6.55,195,Yes
SCP1422B,32,6.04,9.18,2.30,9.75,193,No
JAUDHST,32,6.03,8.27,1.53,8.33,193,Yes
SAUDHST,32,5.84,8.23,1.08,8.65,187,No
