production_job,runs,avg_min,p95_min,min_min,max_min,max_over_avg,worst_night_excess_min,mapped_to_a7
JCPAAS09,32,10.11,7.85,4.72,145.57,14.40,135.5,No
JCP1484U,32,27.45,24.83,12.65,319.87,11.65,292.4,No
JQMDY03,32,1.35,2.75,0.27,9.25,6.85,7.9,Yes
JCP1106R,32,1.72,11.18,0.02,11.45,6.66,9.7,No
JCPGL001,32,3.12,2.92,2.10,20.25,6.49,17.1,Yes
JCP1106U,32,2.17,13.33,0.05,13.87,6.39,11.7,No
SCPSTMT1,32,1.92,7.27,0.67,11.08,5.77,9.2,No
JCP1941U,32,3.81,17.32,0.58,20.85,5.47,17.0,No
JCPDY3K,32,2.26,9.13,0.25,11.10,4.91,8.8,Yes
JCP1100U,32,3.27,14.52,0.02,15.63,4.78,12.4,Yes
JTSSYSLB,32,1.42,4.82,0.18,6.40,4.51,5.0,No
JCP14233,32,4.47,16.68,0.00,19.48,4.36,15.0,No
SCPSTMT3,32,1.28,3.10,0.72,5.17,4.04,3.9,No
JCP14232,32,5.69,18.88,0.00,19.20,3.37,13.5,No
JCP14231,32,5.39,17.47,0.00,18.12,3.36,12.7,No
JSTVIEGU,32,1.44,3.30,0.67,4.60,3.19,3.2,Yes
JCPDY3DU,32,1.74,3.08,0.98,5.30,3.05,3.6,Yes
JCPU516,33,12.73,18.77,7.70,36.98,2.91,24.3,Yes
JAIMBLS,32,9.41,24.97,1.32,26.08,2.77,16.7,No
JCP0687U,32,1.14,1.92,0.48,3.03,2.66,1.9,Yes
JOADCEOD,32,4.05,7.42,2.22,10.67,2.63,6.6,Yes
JCXCLMCI,32,1.81,2.88,1.20,4.55,2.51,2.7,Yes
JCXHSBKP,32,2.14,4.67,0.33,5.37,2.51,3.2,Yes
JCSAUDBK,32,3.42,8.08,0.65,8.38,2.45,5.0,Yes
JQMDY02,32,3.06,5.40,1.65,7.47,2.44,4.4,Yes
JCP14223,32,17.49,33.05,0.00,41.92,2.40,24.4,No
JCXNRBK1,32,1.09,1.57,0.65,2.60,2.39,1.5,Yes
JCPAAS19,31,6.63,6.93,5.65,15.68,2.37,9.1,No
JCP1343R,32,8.04,17.38,2.68,18.37,2.28,10.3,No
SLBDLYCI,32,1.11,2.10,0.38,2.48,2.24,1.4,No
JQMF6001,32,3.85,7.45,1.30,8.40,2.18,4.6,Yes
JCP14222,32,19.42,38.30,0.00,42.27,2.18,22.8,No
SCP0013M,32,2.36,4.62,0.83,5.10,2.16,2.7,No
SCP0005R,32,4.44,8.27,2.58,9.43,2.12,5.0,No
JCP2195U,32,1.10,2.15,0.75,2.33,2.12,1.2,No
JCP1828U,32,2.94,6.08,1.42,6.18,2.10,3.2,Yes
SCP0017R,32,3.23,4.57,1.80,6.77,2.09,3.5,No
SCP1212U,32,1.85,3.10,1.20,3.85,2.08,2.0,No
JCXCLMCO,32,2.84,4.52,1.65,5.87,2.07,3.0,Yes
JCP0203R,32,1.14,1.52,0.85,2.33,2.05,1.2,No
JCP1274U,32,1.02,1.47,0.65,2.08,2.04,1.1,Yes
SCPF6003,32,2.12,3.28,0.78,4.32,2.04,2.2,No
SEPDLY02,32,1.81,3.33,0.82,3.67,2.03,1.9,No
JCP0870U,32,1.31,2.32,0.88,2.65,2.02,1.3,Yes
JCP1288U,32,2.24,3.47,1.77,4.50,2.01,2.3,No
JCXRTSUM,32,1.98,3.65,0.43,3.95,1.99,2.0,Yes
SCPUCD11,32,1.06,1.80,0.43,2.08,1.97,1.0,No
JCP1300U,32,1.12,2.00,0.38,2.20,1.96,1.1,No
SLBD901B,32,1.80,2.42,0.90,3.53,1.96,1.7,No
JCP1176R,32,1.13,1.93,0.85,2.22,1.96,1.1,No
JCF12322,32,1.28,2.07,1.03,2.48,1.94,1.2,Yes
JCPDY3JU,32,1.52,1.75,1.30,2.93,1.93,1.4,Yes
JCP1053U,32,1.35,2.43,0.00,2.58,1.91,1.2,No
SCPGL009,32,1.49,2.00,0.58,2.85,1.91,1.4,No
JCPBKD01,32,25.88,29.08,23.12,49.35,1.91,23.5,No
JCXRTMCO,32,2.71,4.40,0.95,5.15,1.90,2.4,Yes
JEPDY2BK,32,1.10,1.95,0.40,2.08,1.89,1.0,Yes
SCP1232U,32,6.25,9.03,3.02,11.77,1.88,5.5,No
JCXRTVSO,32,1.80,2.80,0.53,3.38,1.88,1.6,Yes
SQMDY05,32,1.43,2.28,0.58,2.67,1.86,1.2,No
JEPDLY02,32,11.04,12.62,8.48,20.52,1.86,9.5,Yes
SCP1235U,32,4.91,7.13,2.48,9.08,1.85,4.2,No
JCP14221,32,19.42,35.10,0.00,35.55,1.83,16.1,No
JCP0916B,31,2.58,3.05,1.82,4.72,1.83,2.1,No
SCPDY7H,32,1.66,2.47,0.67,3.03,1.83,1.4,No
JCPU683,32,1.80,2.87,1.17,3.28,1.82,1.5,Yes
JCXCLMDI,32,8.29,14.77,4.55,15.12,1.82,6.8,Yes
SCP0184U,32,4.08,6.17,1.92,7.43,1.82,3.4,No
SLBDLY01,32,1.62,1.92,0.85,2.95,1.82,1.3,No
JTSCLEAN,34,2.20,2.73,0.00,3.97,1.80,1.8,No
JCXRTVSI,32,1.25,2.18,0.30,2.25,1.80,1.0,Yes
JCXRTMCI,32,2.73,4.77,0.90,4.88,1.79,2.2,Yes
JCP1046U,32,1.06,1.82,0.00,1.88,1.78,0.8,No
SMH002WD,32,5.10,8.35,2.17,9.03,1.77,3.9,No
JCPU685,32,1.93,3.00,1.27,3.42,1.77,1.5,Yes
SOC001B3,32,1.16,1.45,0.62,2.05,1.77,0.9,No
JCPF6002,32,1.50,2.33,1.18,2.65,1.77,1.1,Yes
JCP1688U,32,1.54,1.87,1.15,2.72,1.76,1.2,Yes
JAIEOD,32,6.52,11.42,2.43,11.45,1.76,4.9,Yes
JCP0459R,32,9.08,14.82,2.13,15.92,1.75,6.8,Yes
