plan,position,a7_job,duration_min,earliest_start_min,earliest_finish_min
TMYCLKA7,1,J7MMSTFB,0.37,0.0,0.4
TMYCLKA7,2,J7QDY740,0.12,0.4,0.5
TMYCLKA7,3,J7QDY760,45.04,0.5,45.5
TMYCLKA7,4,J7MDY08A,3.89,45.5,49.4
TMYCLKA7,5,J7MDY09,36.27,49.4,85.7
TMYCLKA7,6,J7QDY10,7.40,85.7,93.1
TMYCLKA7#2,1,J7START2,1.00,0.0,1.0
TMYCLKA7#2,2,J7P1488U,74.41,1.0,75.4
TMYCLKA7#2,3,J7P1489U,26.69,75.4,102.1
TMYCLKA7#2,4,J7END2,1.00,102.1,103.1
TMYCLKA7#3,1,J7P4720R,1.00,0.0,1.0
TMYCLKA7#3,2,J7XCLGL2,11.95,1.0,12.9
TMYCLKA7#3,3,J7PGL002,1.96,12.9,14.9
TMYCLKA7#3,4,J7PGL008,0.82,14.9,15.7
TMYCLKA7#4,1,J7START4,1.00,0.0,1.0
TMYCLKA7#4,2,J7P2513U,70.22,1.0,71.2
TMYCLKA7#5,1,J7START5,1.00,0.0,1.0
TMYCLKA7#5,2,J7P1957U,32.40,1.0,33.4
TMYCLKA7#6,1,J7PREIS2,0.12,0.0,0.1
TMYCLKA7#6,2,J7P375OP,1.48,0.1,1.6
TMYCLKA7#6,3,J7P376CL,1.00,1.6,2.6
TMYCLKA7#6,4,J7P0508U,1.69,2.6,4.3
TMYCLKA7#6,5,J7END6,1.00,4.3,5.3
