jcl_member,sort_programs,dataset_count,first_evidence_line,last_evidence_line
CONV6J2,SORT,4,4,41
JAUDR86,SORT,13,5,98
JAUEODAE,ICETOOL SORT,36,8,159
JBRNXRFA,SORT,5,28,49
JCF22001,SORT,2,14,37
JCF22002,SORT,2,14,37
JCF22741,SORT,5,11,106
JCF2303Y,SORT,3,18,39
JCF2304Y,SORT,3,18,39
JCF23301,SORT,2,14,37
JCF23302,SORT,2,14,37
JCF23303,SORT,3,14,42
JCF23304,SORT,3,14,42
JCF23305,SORT,3,14,42
JCF24001,SORT,2,26,52
JCF24101,SORT,2,26,52
JCF24201,SORT,2,26,52
JCF24701,SORT,4,22,44
JCF2483U,SORT,3,4,52
JCF25491,SORT,5,17,60
JCF25492,SORT,5,17,60
JCF25493,SORT,5,17,60
JCF25494,SORT,5,17,60
JCF25495,SORT,5,17,60
JCF25496,SORT,5,17,60
JCF25497,SORT,5,17,60
JCF25498,SORT,5,17,60
JCF25499,SORT,5,17,60
JCF2549A,SORT,5,17,60
JCF2549B,SORT,5,17,60
JCF2549C,SORT,5,17,60
JCF2549D,SORT,5,17,60
JCF2549E,SORT,5,17,60
JCF2549F,SORT,5,17,60
JCF2549G,SORT,5,17,61
JCF2549H,SORT,5,17,60
JCF2549I,SORT,5,17,60
JCF2549J,SORT,5,17,60
JCF2549K,SORT,5,17,60
JCF2549L,SORT,5,17,60
JCF2549M,SORT,5,17,60
JCF2549N,SORT,5,17,60
JCF2549O,SORT,5,17,60
JCF2549P,SORT,5,17,60
JCF2549Q,SORT,5,17,60
JCF2549R,SORT,5,17,60
JCF2549S,SORT,5,17,60
JCF2549T,SORT,5,17,60
JCF2549U,SORT,5,17,60
JCF2585U,SORT,4,20,38
JCF25861,SORT,4,23,40
JCF26351,SORT,2,27,48
JCF26361,SORT,2,27,48
JCF26811,SORT,4,15,63
JCF27681,SORT,1,11,28
JCF27781,SORT,6,19,110
JCF28181,SORT,4,15,49
JCF28261,SORT,5,20,94
JCF28361,SORT,1,18,59
JCF28362,SORT,1,18,51
JCF28363,SORT,1,18,95
JCF28401,SORT,3,13,38
JCF28402,SORT,3,13,38
JCF28403,SORT,3,13,39
JCF28404,SORT,3,13,39
JCF28461,SORT,3,13,38
JCF28551,SORT,3,19,57
JCF28671,SORT,7,21,62
JCFKSIB1,SORT,3,17,37
JCFKSIB2,SORT,7,17,120
JCFKYCX1,SORT,1,19,54
JCHKDUPL,ICETOOL SORT,45,5,225
JCMSTEXT,SORT,6,12,72
JCNPRC10,SORT,11,4,112
JCNPRC20,SORT,12,4,55
JCP0049R,SORT,6,3,70
JCP0138R,SORT,14,3,261
