jcl_member,permanent_sort_datasets,dataset_count,examples
JCP0756R,10,49,PRDCRD.BTHSEQ.MY20A2.PDB.EDC.SORT PRDCRD.BTHSEQ.MY20A2.PDB.IPT.SORT PRDCRD.BTHSEQ.MY20A2.PDB.MAN.SORT PRDCRD.BTHSEQ.MY20A2.PDB.MSTMH.SORT PRDCRD.BTHSEQ.MY20A2.PDB.MSTMT.SORTED PRDCRD.WRKSEQ.MY20A2.POSTED.SORT
JCP0540R,6,30,PRDCRD.BTHSEQ.MY20A2.MERCHFL.SORT PRDCRD.BTHSEQ.MY20A2.MERCHFL.SORT1 PRDCRD.BTHSEQ.MY20A2.MERCHFL.SORT2 PRDCRD.BTHSEQ.MY20A2.PETTRX.SORT PRDCRD.BTHSEQ.MY20A2.PETTRXIN.SORT PRDCRD.BTHSEQ.MY20A2.PETTRXOU.SORT
JCP0214R,4,23,PRDCRD.WRKSEQ.MY20A2.HLFYR.OFFUS.SRT PRDCRD.WRKSEQ.MY20A2.MERPAY.MLY.SRT PRDCRD.WRKSEQ.MY20A2.MERPAY.QLY.SRT PRDCRD.WRKSEQ.MY20A2.OATFRPT.SORT
JCP0363R,4,10,PRDCRD.WRKSEQ.MY20A2.CPHST.SORT1 PRDCRD.WRKSEQ.MY20A2.CPHST.SORT2 PRDCRD.WRKSEQ.MY20A2.CPOLS.SORT1 PRDCRD.WRKSEQ.MY20A2.CPOLS.SORT2
JCP0848U,4,17,&ENV.CRD.WRKSEQ.&VER.DMS.COLLID.SORT &ENV.CRD.WRKSEQ.&VER.DMS.TLDEBTP.SORT PRDCRD.WRKSEQ.MY20A2.DMS.COLLID.SORT PRDCRD.WRKSEQ.MY20A2.DMS.TLDEBTP.SORT
JCP1233U,4,11,&ENV.CIS.WRKSEQ.&VER.CRD.EIS.SORT &ENV.CIS.WRKSEQ.&VER.EISCC.SORTED PRDCIS.WRKSEQ.MY20A2.CRD.EIS.SORT PRDCIS.WRKSEQ.MY20A2.EISCC.SORTED
JCP0416R,3,34,PRDCRD.WRKSEQ.MY20A2.DBG.PREMIUM.SORT PRDCRD.WRKSEQ.MY20A2.NOWAIVE.SORT PRDCRD.WRKSEQ.MY20A2.WAIVE.SORT
JCP0459R,3,50,&ENV.CRD.WRKSEQ.&VER.MAS.DMRRWRK.SORT &ENV.CRD.WRKSEQ.&VER.MAS.MERCHANT.SORT &ENV.CRD.WRKVSM.&VER.MAS.MASSTMT.SORT
JCP0497U,3,17,PRDCRD.WRKSEQ.MY20A2.ISSRPT.SORT1 PRDCRD.WRKSEQ.MY20A2.REJECT.SORTED PRDCRD.WRKSEQ.MY20A2.REJECT1.SORTED
JCP0695R,3,33,PRDCRD.WRKSEQ.MY20A2.CONTEST.SORT1 PRDCRD.WRKSEQ.MY20A2.CONTEST.SORT2 PRDCRD.WRKSEQ.MY20A2.CONTEST.SORT3
JCP0708U,3,10,PRDCRD.WRKSEQ.MY20A2.CONTESTA.SORT1 PRDCRD.WRKSEQ.MY20A2.CONTESTA.SORT2 PRDCRD.WRKSEQ.MY20A2.CPAPF.SORT
