jcl_member,runs,avg_min,p95_min,max_min,needs_dynalloc,permanent_sort_datasets,mapped_to_a7,total_min_jun26
JCP1028U,32,46.12,48.45,60.67,Y,0,Yes,1476
JCP0506U,32,32.68,35.55,35.80,,1,Yes,1046
JCP0206R,1,16.63,16.63,16.63,Y,0,No,17
JCP0214R,1,15.48,15.48,15.48,Y,4,No,15
JCP0540R,1,12.58,12.58,12.58,Y,6,No,13
JCP0653R,1,12.47,12.47,12.47,Y,0,No,12
JCP1056U,40,11.03,14.62,16.22,Y,0,Yes,441
JCP0459R,32,9.08,14.82,15.92,Y,3,Yes,291
JCP0497U,32,7.55,8.93,9.05,Y,3,No,242
JCP0207R,1,6.37,6.37,6.37,Y,0,No,6
JCP0416R,1,6.23,6.23,6.23,,3,Yes,6
JCF2730U,1,6.17,6.17,6.17,Y,0,No,6
JCP0680U,32,5.71,6.58,6.85,Y,0,Yes,183
JCP1057U,32,5.61,5.98,6.05,Y,0,Yes,180
JCP0507U,32,4.81,5.77,7.15,Y,0,Yes,154
JCP0753U,32,4.79,5.80,6.13,Y,0,Yes,153
JCP0708U,32,4.73,7.08,7.82,Y,3,Yes,151
JCP0906B,32,4.54,6.72,7.00,Y,0,No,145
JCP0718R,1,3.77,3.77,3.77,Y,0,No,4
JCP0766R,32,3.70,4.62,5.27,Y,1,Yes,118
JCP0505U,32,3.61,5.50,5.70,Y,0,Yes,116
JCP1333R,32,3.61,4.13,4.25,Y,1,No,116
JCP1303U,32,3.41,3.97,4.27,Y,0,No,109
JCP1100U,32,3.27,14.52,15.63,Y,0,Yes,105
JCP0913B,31,2.96,4.35,4.38,Y,0,No,92
JCP0920B,32,2.90,3.22,3.30,Y,0,No,93
JCP0907B,32,2.87,3.97,4.20,Y,0,No,92
JCP0912B,31,2.61,3.03,3.43,Y,0,No,81
JCP0914B,31,2.61,3.12,3.18,Y,0,No,81
JCP0910B,31,2.59,3.03,3.23,Y,0,No,80
JCP0921B,32,2.59,2.95,2.98,Y,0,No,83
JCP0916B,31,2.58,3.05,4.72,Y,0,No,80
JCP0919B,32,2.53,2.95,3.32,Y,0,No,81
JCP0918B,31,2.46,2.98,3.02,Y,0,No,76
JCP0917B,31,2.42,3.28,3.70,Y,0,No,75
JCP0911B,31,2.34,2.65,2.72,Y,0,No,73
JCP0353R,32,2.33,2.92,3.00,Y,0,Yes,75
JCP0477U,32,2.29,2.37,2.58,Y,0,Yes,73
JCP0363R,1,2.28,2.28,2.28,Y,4,No,2
JCP0543R,1,2.27,2.27,2.27,Y,2,No,2
JCP0915B,31,2.26,2.73,2.75,Y,0,No,70
JCP0909B,31,2.25,2.77,2.88,Y,0,No,70
